timestamp, gforce
0,-0.46495380163647937
7,-0.4576458419278904
15,-0.4611718266030671
23,-0.4993368020996929
31,-0.5468585647510178
39,-0.4751511757250402
46,-0.5333296534462697
54,-0.47751214190949476
62,-0.4798101259386911
70,-0.5012331319014898
78,-0.4729595871930261
85,-0.48110364235978587
93,-0.4824722605471141
101,-0.44234186553958743
109,-0.494028222063827
117,-0.5001746271203924
125,-0.48281110504299285
132,-0.4582377086645302
140,-0.48920113212312444
148,-0.47590485893934087
156,-0.4420937655415358
164,-0.46169147185141846
171,-0.5185643517301965
179,-0.5174655872088945
187,-0.48227715315275965
195,-0.48501948750061175
203,-0.4515301574143251
210,-0.5896893256862672
218,-0.5189988205457272
226,-0.5161048739950829
234,-0.5037318643253066
242,-0.5756652200318868
250,-0.5633136214699217
257,-0.08637601891618196
265,-0.39963782032917017
273,-0.6560129290529471
281,-0.3333641983301412
289,-0.5641376757999872
296,-0.5916624554161505
304,-0.5786033997160764
312,-0.566051055025941
320,-0.5615548897178186
328,-0.5326934673824333
335,-0.6255309156069409
343,-0.40177366980733886
351,-0.40483772221636194
359,-0.5875912096818361
367,-0.31369722207768724
375,-0.6706479018567677
382,-0.3345471013151915
390,-0.3479813573878996
398,-0.523440782031555
406,-0.5306515733437305
414,-0.5335675541640725
421,-0.4068546737830552
429,-0.4989408475401582
437,-0.3958276320167755
445,-0.5049479010587685
453,-0.5134419043347886
460,-0.4589030379823882
468,-0.45583477622629687
476,-0.4271127310362264
484,-0.42717145107183363
492,-0.5243562870888336
500,-0.44724642567388173
507,-0.45314346520766335
515,-0.49230832005278735
523,-0.42945568471819584
531,-0.44405064475178513
539,-0.42991893206951914
546,-0.5293248238331838
554,-0.41511354233252007
562,-0.44378030600190854
570,-0.4708400853562438
578,-0.4586026185498113
585,-0.47367005082349856
593,-0.4898051644335215
601,-0.46162883547096634
609,-0.48802826315928804
617,-0.4268420909153008
625,-0.5301746201938187
632,-0.5077971472838883
640,-0.42557208430418214
648,-0.4447264185760478
656,-0.47210294358742466
664,-0.5258309815082871
671,-0.5028849387017509
679,-0.45861408436213225
687,-0.4873554440895074
695,-0.4690530772967687
703,-0.5206004577290688
710,-0.4991476251571392
718,-0.4927772311287324
726,-0.3898811998592677
734,-0.41391762835047174
742,-0.44838897368243913
750,-0.5421546955687564
757,-0.47847476021606816
765,-0.5127586473387336
773,-0.47751676554804234
781,-0.39457575182878024
789,-0.47935282529749657
796,-0.4779785723736705
804,-0.47052380787241255
812,-0.5068358945994813
820,-0.4358449437865666
828,-0.46180552371620465
835,-0.5519357922748895
843,-0.4986498091481799
851,-0.5206017631801405
859,-0.44362529113003113
867,-0.41378824736679753
875,-0.48453794318747434
882,-0.4716011670179121
890,-0.49049997331982986
898,-0.48033230452904263
906,-0.42206745457010975
914,-0.38503888917050055
921,-0.5035724316481822
929,-0.49661871658320855
937,-0.5090812940466272
945,-0.45885666068436315
953,-0.5006806163999489
960,-0.4470125414688866
968,-0.5066706384435875
976,-0.525208175306977
984,-0.4593237297373882
992,-0.5119118880907738
1000,-0.4987606237815516
1007,-0.4942770031058572
1015,-0.48999692226752245
1023,-0.466196083930404
1031,-0.40825089444893337
1039,-0.47788108255547
1046,-0.45819612717963665
1054,-0.46184368509356233
1062,-0.4974412335049099
1070,-0.4873044290052704
1078,-0.5206531449289802
1085,-0.5228797139894272
1093,-0.48194654758777133
1101,-0.5322424783840223
1109,-0.5375246173002317
1117,-0.45188229261693813
1125,-0.41817046932342805
1132,-0.5410879395628907
1140,-0.5161714331972505
1148,-0.5393126680611999
1156,-0.4787886123091418
1164,-0.46358006909362715
1171,-0.5188695240998111
1179,-0.4626782621641148
1187,-0.45589022465183504
1195,-0.4754781396909067
1203,-0.4722188963828948
1210,-0.43508202538485463
1218,-0.538813267630335
1226,-0.5392238618273062
1234,-0.47666153757920604
1242,-0.4421550919496351
1250,-0.4110865580211893
1257,-0.47679247770322775
1265,-0.4913683604152883
