timestamp, gforce
156250,-0.326436908509
164062,-0.326542305418
171875,-0.327037830197
179687,-0.32836656796
187500,-0.329197662042
195312,-0.33146897523
203125,-0.332624612097
210937,-0.333632501699
218750,-0.334242200657
226562,-0.334256060027
234375,-0.335124672491
242187,-0.336482734164
250000,-0.338272690002
257812,-0.339413593768
265625,-0.3410571794
273437,-0.343382681136
281250,-0.344971990378
289062,-0.346122431948
296875,-0.348220968709
304687,-0.349836169506
312500,-0.351692239002
320312,-0.35357556258
328125,-0.355606861776
335937,-0.356876444433
343750,-0.357825989789
351562,-0.358758813742
359375,-0.359786386153
367187,-0.360264498825
375000,-0.359808837065
382812,-0.359145370222
390625,-0.359340523954
398437,-0.358302469487
406250,-0.356772188299
414062,-0.355846597011
421875,-0.355754582506
429687,-0.354806613308
437500,-0.354054574319
445312,-0.353772725031
453125,-0.352626428989
460937,-0.351365684307
468750,-0.350376871971
476562,-0.348052237502
484375,-0.346889818303
492187,-0.345815792071
500000,-0.34485811326
507812,-0.34270647339
515625,-0.341679568664
523437,-0.342192823885
531250,-0.34360338348
539062,-0.345358708225
546875,-0.347268463768
554687,-0.347407493883
562500,-0.345996757891
570312,-0.344482676617
578125,-0.343254317623
585937,-0.341213813883
593750,-0.340098346301
601562,-0.339168083418
609375,-0.33807737237
617187,-0.338092656248
625000,-0.338473225894
632812,-0.33774095027
640625,-0.337362261997
648437,-0.336837908957
656250,-0.338551392614
664062,-0.342964132517
671875,-0.344117458166
679687,-0.343485783303
687500,-0.343368735188
695312,-0.340863450053
703125,-0.339855877082
710937,-0.33933728067
718750,-0.33992265306
726562,-0.340766078953
734375,-0.341773326111
742187,-0.343037476813
750000,-0.345839682542
757812,-0.347985432509
765625,-0.349494088909
773437,-0.350859607315
781250,-0.350753311455
789062,-0.350228557068
796875,-0.349174606216
804687,-0.347018549605
812500,-0.344637413215
820312,-0.344027617809
828125,-0.344135550738
835937,-0.345146343181
843750,-0.34693683074
851562,-0.348539695897
859375,-0.349544385639
867187,-0.34962667824
875000,-0.350124106193
882812,-0.349441120802
890625,-0.348890767946
898437,-0.348438257558
906250,-0.348249875628
914062,-0.348122357106
921875,-0.347604911702
929687,-0.348148592158
937500,-0.348324821272
945312,-0.349454042592
953125,-0.34913261263
960937,-0.349236482429
968750,-0.350081386326
976562,-0.350200699611
984375,-0.35028165424
992187,-0.35079609826
1000000,-0.351251347682
