timestamp, gforce
0,-0.4059620255988392
7812,-0.3744178761248591
15625,-0.4175381347758993
23437,-0.4290898334368123
31250,-0.8655560484799061
39062,-0.2639333597916984
46875,0.36172668534984
54687,-0.7053931336853765
62500,-0.0434581734860906
70312,-0.816843439395118
78125,-0.39334743451790466
85937,-0.25175633000744035
93750,-0.17717944746968506
101562,-0.764187775137664
109375,-0.285355907280497
117187,-0.2394858113932159
125000,-0.3702779372313394
132812,-0.3746259669549694
