timestamp, gforce
0,-0.360909191633473
7813,-0.3153670078523305
15625,-0.4110895143517421
23438,-0.0197091753932348
31250,-0.2882663619732444
39063,-0.17498434530654094
46875,0.24456191141958605
54688,-0.5050639156315508
62500,-0.03658824218710777
70313,-0.3252443029385148
78125,-0.03475590616545787
85938,-0.429582931586161
93750,-0.20583153855197622
101563,-0.508249508657844
109375,-0.24980708848667987
117188,-0.45161494140126024
125000,-0.22097108376074992
140625,-0.30232627320912364
