timestamp, gforce
0,-0.8158909191990507
7813,-0.5190318263246478
15625,-0.3339013363516674
23438,-0.04529668446868662
31250,-0.25760883753239305
39063,-0.39034988462799625
46875,-0.8894871862630431
54688,-0.14838174760163803
62500,-0.4873533244219601
70313,-0.37202333255935116
78125,-0.37081154879492395
85938,-0.308780913404858
93750,-0.09306699017002096
101563,-0.7280088279415207
109375,-0.28370949487864294
117188,-0.3580324581105998
125000,-0.2931887991867761
132813,-0.30768045221763884
