timestamp, gforce
0,-0.4051589636965556
7812,-0.414385606979506
15625,-0.4204052764699906
23437,-0.3816036330877317
31250,-0.4013299136349513
39062,-0.4142997712253802
46875,-0.8720252223412146
54687,-0.3508574420665802
62500,-0.867869618952751
70312,-0.10687800375082901
78125,-0.37738080105018845
85937,-0.5907647254134893
93750,-0.23234716048192539
101562,-0.35712683381170685
109375,-0.12111302014664282
117187,-0.7580633988605019
125000,-0.5426568237575626
132812,-0.22791094348576202
