timestamp, gforce
0,-0.4567643028715871
7,-0.4761085971485848
15,-0.5219511220182991
23,-0.4532579716014169
31,-0.4120024335968644
39,-0.5366353084867654
46,-0.44685802340318403
54,-0.45670199528492184
62,-0.4890518610649188
70,-0.5441221514413499
78,-0.4616299706561833
85,-0.4452925354840236
93,-0.44457032885464187
101,-0.4394468047458968
109,-0.451253404928611
117,-0.4892045457482297
125,-0.42324481953439275
132,-0.45630718929909087
140,-0.46792252147930746
148,-0.42592031904101724
156,-0.43733655601496224
164,-0.4995302465440865
171,-0.4992958409176662
179,-0.5460975209489902
187,-0.4679317592660315
195,-0.4315838260380538
203,-0.5163289253015293
210,-0.5160818044099944
218,-0.440668590491919
226,-0.46307463878159005
234,-0.4822737420628407
242,-0.45956962990836026
250,-0.5136803203626599
257,-0.03655926173020241
265,-0.15680822961631513
273,-0.5573129359603506
281,-0.5839995922499615
289,-0.30888344999663
296,-0.6674653919443596
304,-0.4135257453078527
312,-0.4014838729266792
320,-0.2755188932919914
328,-0.5132721237509319
335,-0.6808577882239639
343,-0.4722320126120483
351,-0.3706246479889366
359,-0.3971494259949253
367,-0.3800997504429269
375,-0.5515232768868081
382,-0.44455426903886597
390,-0.45169253441760837
398,-0.4280413711807398
406,-0.39633848069104793
414,-0.453288576252719
421,-0.6404821022621316
429,-0.6030113459300317
437,-0.5247524371510188
445,-0.5114293574535083
453,-0.4137354559208877
460,-0.4791346528003473
468,-0.5220562192807225
476,-0.412575758710199
484,-0.46726900625310286
492,-0.43763959919960627
500,-0.45690038503889063
507,-0.5146373686342312
515,-0.4649642957866753
523,-0.45171395103712797
531,-0.38283667341299044
539,-0.48941592423306446
546,-0.544569962863168
554,-0.5751939731341018
562,-0.40421768059844787
570,-0.43928106997355876
578,-0.4362747965375604
585,-0.5604966204129092
593,-0.5109594832252409
601,-0.43171191114470275
609,-0.4354616594495688
617,-0.4329681535512453
625,-0.39470403197597825
632,-0.47712291971453347
640,-0.5795295050390212
648,-0.41534552689863524
656,-0.39209635823853084
664,-0.42635197374712774
671,-0.5386885840130908
679,-0.5818504062581429
687,-0.4269078660490848
695,-0.3941640588727271
703,-0.4948377052727366
710,-0.4179426885780071
718,-0.41342665845609616
726,-0.4973716762528433
734,-0.44695476382303667
742,-0.4320932296216906
750,-0.46242621822627505
757,-0.47472015212074936
765,-0.4936036311672076
773,-0.5028495347380488
781,-0.48479553443312895
789,-0.4592341391923398
796,-0.47084885932792986
804,-0.4581025916662007
812,-0.48575711717674785
820,-0.48480956826729127
828,-0.4614598760625377
835,-0.42125683564750105
843,-0.4900150597422055
851,-0.552433177966094
859,-0.6067090239773449
867,-0.45721840752903375
875,-0.38592961236624923
882,-0.429033544440129
890,-0.4458385340226574
898,-0.4411999389909731
906,-0.49167700014887394
914,-0.4397084164578775
921,-0.4560348619012782
929,-0.47810915867473547
937,-0.522005384696854
945,-0.5466186015352168
953,-0.47718772966836553
960,-0.4346239234434801
968,-0.5387091319797062
976,-0.5016790281632133
984,-0.522846201042352
992,-0.49751895484880215
1000,-0.4016234234952911
1007,-0.40326308890413287
1015,-0.48669677586043036
1023,-0.44919866220929805
1031,-0.5140934611164809
1039,-0.4508381518503377
1046,-0.5024920688765135
1054,-0.45225193460948
1062,-0.5083649944790345
1070,-0.4875890935233169
1078,-0.47885182276799654
1085,-0.4185164265611441
1093,-0.424894349736217
1101,-0.44121952078953264
1109,-0.48688986096015796
1117,-0.5276249547212686
1125,-0.4915048523238976
1132,-0.4418281790739673
1140,-0.3683133916815944
1148,-0.46139983326940026
1156,-0.4842069731989671
1164,-0.44790171673527546
1171,-0.4639548957777908
1179,-0.45820213947712496
1187,-0.48072625791224155
1195,-0.4942160860384792
1203,-0.4862087441387022
1210,-0.5008434642547535
1218,-0.5021486135294015
1226,-0.4627377146971714
1234,-0.5087341825952834
1242,-0.5437913310757185
1250,-0.42524068620442534
1257,-0.39241284442866053
1265,-0.4837708073153486
