timestamp, gforce
0,-0.3514169923693409
5859,-0.34178540160051263
10742,-0.40815315374367955
15625,-0.31747114340469196
20507,-0.3723494726430001
25390,-0.30763126191015466
30273,-0.32700818625884054
35156,-0.39481923929212215
41015,-0.9672474187031543
45898,-0.033582240599006496
50781,-0.2570680859203254
55664,-0.3356337382385419
60546,-0.06220076857091783
65429,-0.6279986005297413
69335,-0.3556561886660674
72265,-0.3855578889719844
75195,-0.5851025088822457
83007,-0.4149040872677734
90820,-0.2622320785916443
95703,-0.2551765569700244
100585,-0.4449541565088371
103515,-0.35035099879078757
107421,-0.20187543503512195
110351,-0.6200072041277789
118164,-0.3498202304391711
125976,-0.4079321367639803
130859,-0.43229675161387604
