timestamp, gforce
0,-0.3436522047270856
4883,-0.33122601704098287
7569,-0.43958967991097
10010,-0.4037108322171772
20020,0.027070254328346977
24903,-0.7905134654002879
30030,0.21878269797863759
34913,-0.4827622333496038
40039,-0.9678609521778743
44922,0.047648669660997456
50049,-0.6180132807800796
54932,-0.5219957842372995
60059,-0.43804665222297423
64942,-0.6446782394999264
74952,-0.1752968027309496
79834,-0.4425787856221586
84961,-0.493252600343423
89844,-0.24497215567339126
94971,-0.43958931955199354
99854,-0.44048288422371584
104981,-0.24257229413918147
109864,-0.3017529993348873
114991,-0.4544901869037794
119873,-0.4617262459176459
129883,-0.34145110536941026
